Symptom1,Symptom2,Symptom3,Disease,Safety Measures,Diet,Prescription
Joint pain,Shortness of breath,Persistent cough,Rheumatoid arthritis or viral infection,"Vaccinate, use insect repellent",Avoid sugars and junk food,"Immunosuppressants, Anti-inflammatory drugs"
Sore throat,Sore throat,Fatigue,Pharyngitis or tonsillitis,"Regular physical activity, maintain hygiene","Warm fluids, vitamin C-rich foods","Oral rehydration, Antibiotics"
Skin rash,Congestion,Sweating,Allergic reaction or eczema,"Vaccinate, use insect repellent","Soft foods, avoid cold beverages","Iron supplements, B12 injections"
High fever,Chest pain,Itching,"Severe infection (e.g., bacterial or viral)","Proper food hygiene, avoid raw foods","Fresh fruits and vegetables, avoid dairy","Albuterol, Inhaled corticosteroids"
Sweating,Skin rash,Shivering,Fever or hyperhidrosis,"Avoid stress, manage triggers","High-fiber diet, avoid processed foods","Albuterol, Inhaled corticosteroids"
Headache,Runny nose,Runny nose,Migraine or tension headache,"Avoid stress, manage triggers",Avoid fried foods,"Iron supplements, B12 injections"
Dry cough,High fever,Shortness of breath,"Viral infection (e.g., cold or flu)",Maintain healthy environment,"Include ginger, garlic in diet","Antibiotics, Pain relievers"
Sensitivity to light,Nausea,Joint pain,Migraine or meningitis,"Avoid stress, manage triggers","Include ginger, garlic in diet","Antibiotics, Seizure control"
Diarrhea,Fatigue,Congestion,Gastroenteritis or food poisoning,Avoid close contact with sick individuals,"Include ginger, garlic in diet","Immunosuppressants, Anti-inflammatory drugs"
Congestion,Chest pain,Headache,Sinusitis or upper respiratory infection,Maintain healthy environment,"Stay hydrated, avoid cold foods","Iron supplements, B12 injections"
Sensitivity to light,Shivering,Shortness of breath,Migraine or meningitis,Avoid close contact with sick individuals,Avoid salty and sugary snacks,"Acyclovir, Calamine lotion"
Nausea,Skin rash,Abdominal pain,Gastroenteritis or migraine,Avoid public places if symptomatic,"Small, frequent meals, avoid spicy foods","Antibiotics, Pain relievers"
Persistent cough,Runny nose,Headache,Chronic bronchitis or asthma,"Wash hands frequently, wear a mask","Stay hydrated, avoid cold foods","Acyclovir, Calamine lotion"
Shortness of breath,Sweating,Shivering,Asthma or pneumonia,"Rest, avoid physical exertion",Drink warm herbal teas,"Oral rehydration salts, Anti-nausea meds"
Persistent cough,Shortness of breath,Sore throat,Chronic bronchitis or asthma,"Rest, avoid physical exertion",Avoid salty and sugary snacks,"Antiviral drugs, Rest"
Vomiting,Sweating,Sweating,Gastroenteritis or food poisoning,Avoid public places if symptomatic,Consume high-protein foods,"Antivirals, Avoid alcohol"
Shivering,High fever,Vomiting,Fever or infection,"Stay hydrated, avoid smoking","Small, frequent meals, avoid spicy foods","Oral rehydration, Antibiotics"
Blood in phlegm,Blood in phlegm,Fatigue,Bronchitis or lung infection,Avoid crowded areas,"Include ginger, garlic in diet","Paracetamol, Ibuprofen"
Headache,Congestion,Runny nose,Migraine or tension headache,"Vaccinate, use insect repellent",Eat whole grains and leafy greens,"Antihistamines, Nasal spray"
Sore throat,Redness,Runny nose,Pharyngitis or tonsillitis,"Avoid allergens, use hypoallergenic products",Consume high-protein foods,"Acetaminophen, Rehydration therapy"
